Title,Content,Post Type,Permalink,Rubbish Tip Locations - Categories,Rubbish Tip Locations - Region,Rubbish Tip Locations - Accepted Materials,Slug,Custom URI,field_name,address,street,street2,city,province,zip,country,lat,lng
Tamala Park Waste Management Centre - Rubbish Tip,"The City of Canning Waste Transfer Station allows for quick and easy disposal of material from cars or trailers on a user pays basis, with residents receiving discounted fees.

The Waste Transfer Station can take waste from both residents and the commercial sector. Inert material taken through the transfer station is separated into metal material, plus building construction material such as rubble, bricks, concrete and sand and other material. Metal and building construction material is recycled, reducing the amount of waste going to landfill.

It is also a one-stop facility for disposal of Household Hazardous Waste (including batteries, aerosols, paint and chemicals) free of charge up to 20L/20kg per person. Residents have access to limited disposal of asbestos, which attracts a fee.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/perth/tamala-park-waste-management-centre-tamala-park-rubbish-tip/,Rubbish Tip,Perth,Asbestos|Batteries|Construction Material|Metals,tamala-park-waste-management-centre-tamala-park-rubbish-tip,perth/tamala-park-waste-management-centre-tamala-park-rubbish-tip,location_address,"Wanneroo City Tamala Park Rubbish Disposal Site, 1700 Marmion Ave, Tamala Park WA 6030, Australia",,,,,,,-31.706847,115.724199
Armadale Landfill - Hilbert - Rubbish Tip,"<strong>Opening hours:</strong> The facility is open from 8am to 4.45pm, seven days a week and is closed New Year’s Day, Good Friday and Christmas Day. The facility closes at noon on Christmas Eve (24 December) and New Years Eve (31 December).

<strong>Accepted items</strong>

General rubbish
Greenwaste
Recyclables
Tyres (small quantities)
Car bodies
Low level hazardous waste
Household chemicals – maximum 20 litres or 20kg
Asbestos (only if packaged and wrapped to the prescribed standard).
Dispose of your recyclables for free

<strong>If your load only contains the following it will be free:</strong>

Whitegoods, eg fridges, freezers and washing machines
Scrap metal including small amounts of wire, rinsed steel and aluminium cans
Car batteries
Cardboard, packing boxes, magazines, newspapers (must be flattened and clean)
Glass bottles
Small household appliances (e.g. kettles, toasters, hairdryers, stereos)
Computers and televisions (Maximum 4 screens)

<strong>Important notes</strong>

Loads that contain any other materials will be charged at the standard rate.
Green waste and brick rubble are not free items and will be charged.
Residential loads only - commercial loads will not be accepted.
Metal drums must have the lids removed.
Why are only some recyclables accepted for free?

The City can cover the cost of handling items such as steel and aluminium by reselling them. Items such as green waste and rubble are costly to process and have little or no resale value and therefore cannot be accepted for free.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/perth/armadale-landfill-hilbert-rubbish-tip/,Rubbish Tip,Perth,Asbestos|Construction Material|Green Waste|Hazardous Waste,armadale-landfill-hilbert-rubbish-tip,perth/armadale-landfill-hilbert-rubbish-tip,location_address,"145 Hopkinson Rd, Hilbert WA 6112, Australia",Hopkinson Road,,,Western Australia,6112,AU,-32.193755,115.971628
Brajkovich Demolition and Salvage - Upper Swan - Rubbish Tip,"Landfills are a needed part of modern life, but they don’t have to drastically impact the future. Our goal is to leave land fit for future development by placing waste, which has been recycled and cannot be pushed back out to market for sustainable reuse, into the landfill to eventually rehabilitate the land.

Safety is our top priority on any demolition we undertake. With more than 40 years of experience, we know how to keep our crew and the public safe during this process. From stringent preventative measures to proper procedures in case of emergencies, we make sure nothing is overlooked.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/perth/brajkovich-demolition-and-salvage-upper-swan-rubbish-tip/,Rubbish Tip,Perth,Construction Material,brajkovich-demolition-and-salvage-upper-swan-rubbish-tip,perth/brajkovich-demolition-and-salvage-upper-swan-rubbish-tip,location_address,"1686 Great Northern Hwy, Upper Swan WA 6069, Australia",Great Northern Highway,,,Western Australia,6069,AU,-31.745868,116.039872
Brajkovich Demolition and Salvage - Neerabup - Rubbish Tip,"Landfills are a needed part of modern life, but they don’t have to drastically impact the future. Our goal is to leave land fit for future development by placing waste, which has been recycled and cannot be pushed back out to market for sustainable reuse, into the landfill to eventually rehabilitate the land.

Safety is our top priority on any demolition we undertake. With more than 40 years of experience, we know how to keep our crew and the public safe during this process. From stringent preventative measures to proper procedures in case of emergencies, we make sure nothing is overlooked.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/perth/brajkovich-demolition-and-salvage-neerabup-rubbish-tip/,Rubbish Tip,Perth,Construction Material,brajkovich-demolition-and-salvage-neerabup-rubbish-tip,perth/brajkovich-demolition-and-salvage-neerabup-rubbish-tip,location_address,,Hester Avenue,,,Western Australia,6030,AU,-31.671235,115.735173
Henderson Waste Recovery Park - Rubbish Tip,"The park is open seven days a week, every day of the year except Christmas Day, New Year’s Day and Good Friday.

<strong>Opening hours are:</strong>

Domestic Waste Drop-Off / Transfer station:
8am to 4.30pm for cars and trailers
Gates close at 4.30pm

Trucks on weighbridge:
7am to 4pm from Monday to Saturday
8am to 4pm on Sundays

Reuse shop:
8am – 4pm (enter by 3.45pm) Friday, Saturday, Sunday and Public Holidays.

<strong>Important notes:</strong>
Fees may be subject to change.
Each load will be assessed by the weighbridge attendant whose decision shall be final.
Due to safety concerns vehicles with pets will NOT be admitted.

<strong>The park accepts:</strong>

General household including furniture, whitegoods and electronics
General commercial waste
Construction and demolition waste
Metal
Timber
Green Waste (this is processed into mulch which is free to people visiting the park)
Polystyrene - no trailer pass required
Cardboard - no trailer pass required
E-Waste (e.g. computer, keyboard, laptop, phone, TV) - no trailer pass required
The above items are recycled or reused wherever possible.
Non-commercial cardboard and polystyrene can be delivered by residents and non-residents for free at HWRP, no trailer pass is required.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/perth/henderson-waste-recovery-park-henderson-rubbish-tip/,Rubbish Tip,Perth,Asbestos|Batteries|Cars &amp; Other Vehicles|Chemicals &amp; Liquids|Clothes &amp; Textiles|Construction Material|Electronics|Furniture|Green Waste|Hazardous Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,henderson-waste-recovery-park-henderson-rubbish-tip,perth/henderson-waste-recovery-park-henderson-rubbish-tip,location_address,"920 Rockingham Rd, Henderson WA 6166, Australia",Rockingham Road,,,Western Australia,6166,AU,-32.16505,115.800755
Red Hill Waste Management Facility - Rubbish Tip,"The EMRC operates the Red Hill Waste Management Facility on behalf of five member Councils - Town of Bassendean, City of Bayswater, City of Kalamunda, Shire of Mundaring and City of Swan.

Located about 12 kilometres north-east of Midland, on the south side of Toodyay Road and east of the Darling escarpment, the Facility uses modern techniques and principles of sanitary landfill design and operation, including leachate collection and methane gas capture.

If you have any queries or require further information, please contact the Red Hill Waste Management Facility on 9574 6235 or redhill@emrc.org.au.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/perth/red-hill-waste-management-facility-red-hill-rubbish-tip/,Rubbish Tip,Perth,Asbestos|Batteries|Cars &amp; Other Vehicles|Chemicals &amp; Liquids|Clothes &amp; Textiles|Construction Material|Electronics|Furniture|Green Waste|Hazardous Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,red-hill-waste-management-facility-red-hill-rubbish-tip,perth/red-hill-waste-management-facility-red-hill-rubbish-tip,location_address,"1094 Toodyay Rd, Red Hill WA 6056, Australia",Toodyay Road,,,Western Australia,6056,AU,-31.836756,116.106682
City of Canning - Waste Transfrer - Canning Vale - Recycling Centre,"The Waste Transfer Station can take waste from both residents and the commercial sector. Inert material taken through the transfer station is separated into metal material, plus building construction material such as rubble, bricks, concrete and sand and other material. Metal and building construction material is recycled, reducing the amount of waste going to landfill.

It is also a one-stop facility for disposal of Household Hazardous Waste (including batteries, aerosols, paint and chemicals) free of charge up to 20L/20kg per person. Residents have access to limited disposal of asbestos, which attracts a fee.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/perth/city-of-canning-waste-transfrer-canning-vale-recycling-centre/,Recycling Centre,Perth,Asbestos|Batteries|Construction Material|Green Waste|Hazardous Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,city-of-canning-waste-transfrer-canning-vale-recycling-centre,perth/city-of-canning-waste-transfrer-canning-vale-recycling-centre,location_address,"502 Ranford Rd, Canning Vale WA 6155, Australia",Ranford Road,,,Western Australia,6155,AU,-32.077447,115.900066
Wolfram Metal Recyclers - Port Kennedy - Recycling Centre,"Wolfram Metal Recyclers, is a Perth based scrap metal recycling yard, with 45 years of experience within the scrap metal industry. WMR is a privately-owned scrap metal recycling business founded by Brett Russell.
Wolfram Metal Recyclers buys all metals and specialise in Tungsten, Titanium, Nickel Alloys &amp; Stainless Steel. We provide reliable and trustworthy service to everyone.

Wolfram cater to everyone’s needs, providing:

Weigh &amp; Pay service to all Plumbers, Electricians, Mechanics, ETC (this also includes general public).
One of our friendly staff members will come to your home or business and weigh your scrap metal in front of you, we will then pay cash in hand on the day.
Wolfram can also provide semi-trucks and flat top truck for loads that are unable to fit into our bins.
We also have a wide range of bins from different sizes for everyone’s scrap metal needs.
White goods disposal (NO Pickup).
Automotive batteries and any other scrap metal (ferrous and non-ferrous metals).
Offering local, national and international buy and sell of scrap metal.
Wolfram Metal Recyclers is a versatile Perth based company, which operates locally, nationally and overseas.

In 2017, we opened our first yard, now customers are welcome to bring Scrap Metal to us. We are located in the industrial area of Port Kennedy and offer buy and sell services for scrap metal in Perth, Australia and overseas.

Our service is 100% guaranteed and always reliable.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/perth/wolfram-metal-recyclers-port-kennedy-recycling-centre/,Recycling Centre,Perth,Cars &amp; Other Vehicles|Construction Material|Furniture|Metals,wolfram-metal-recyclers-port-kennedy-recycling-centre,perth/wolfram-metal-recyclers-port-kennedy-recycling-centre,location_address,"3 Bessemer Rd, Port Kennedy WA 6172, Australia",Bessemer Road,,,Western Australia,6172,AU,-32.368109,115.761981
West Metro Recycling - Shenton Park - Recycling Centre,"To help you manage your waste wisely, the WMRC provides comprehensive waste recycling, treatment and disposal services for acceptable items, seven days a week, for residents, businesses and councils. In its capacity as a transfer station, the West Metro Recycling Centre aggregates, compacts and loads large volumes of municipal solid waste into silos for effective and efficient transfer to distant sites for appropriate treatment or disposal.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/perth/residential-west-metro-recycling-shenton-park-recycling-centre/,Recycling Centre,Perth,Batteries|Cars &amp; Other Vehicles|Chemicals &amp; Liquids|Clothes &amp; Textiles|Construction Material|Electronics|Furniture|Green Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,residential-west-metro-recycling-shenton-park-recycling-centre,perth/residential-west-metro-recycling-shenton-park-recycling-centre,location_address,"Jfr Mcgeough Resource Recovery Facility, 60 Lemnos St, Shenton Park WA 6008, Australia",,,,,,,-31.95761,115.792198
Fremantle Recycling Centre,"Entry to Fremantle Recycling Centre

Fremantle Recycling Centre is free to all City of Fremantle and Town of East Fremantle residents with presentation of a photo ID showing your residential address (e.g. driver’s license). If your photo ID does not contain your current residential address, please also bring a rates notice or a bill to verify residency.

**Town of East Fremantle residents will also need to bring their bulk drop-off letter to drop off bulky items.**
Entry passes are now digital for City of Fremantle Residents
City of Fremantle residents can visit the Fremantle Recycling Centre with proof of residency (ie: driver's license and utility bill) to claim their entry pass. No voucher letter is required. Staff will record entries on our new app. This will alleviate issues with lost letters and reduce paper usage.

In addition to recyclable materials, residents are entitled to four (4) drop-offs of household bulk waste per year. Entry passes are for residential properties only and are restricted to one box trailer per pass.

Location and opening hours
The Fremantle Recycling Centre is located at 19A Montreal Street, Fremantle.

Open hours:

Fridays: 12–4pm (Re-use Shop open)
Saturday and Sunday: 8am–4pm (Re-use Shop open)

The recycling centre is closed on public holidays.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/perth/fremantle-recycling-centre-fremantle-recycling-centre/,Recycling Centre,Perth,Batteries|Cars &amp; Other Vehicles|Chemicals &amp; Liquids|Clothes &amp; Textiles|Electronics|Furniture|Green Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,fremantle-recycling-centre-fremantle-recycling-centre,perth/fremantle-recycling-centre-fremantle-recycling-centre,location_address,"19a Montreal St, Fremantle WA 6160, Australia",Montreal Street,,,Western Australia,6183,AU,-32.054145,115.765708
